                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.93881,                0.49695,                0.90686,                0.96405,                0.91619,                 0.9706,                0.75591,                0.79149,                0.39149,                0.89742,                0.00494,                0.00494,                0.00494
                     48,                0.93401,                0.49368,                0.90391,                0.96633,                0.91133,                0.96879,                  0.756,                0.78764,                0.39599,                0.89634,                0.00483,                0.00483,                0.00483
                     49,                0.93124,                0.49446,                0.90713,                0.96227,                0.91959,                0.96984,                0.75835,                0.78434,                0.38814,                0.89386,                0.00472,                0.00472,                0.00472
                     50,                0.92639,                0.49193,                0.90529,                0.96424,                0.92221,                0.97185,                0.76248,                0.77278,                0.38369,                0.89426,                0.00461,                0.00461,                0.00461
                     51,                0.92552,                0.48929,                0.90457,                0.96677,                0.91574,                0.97081,                0.76446,                0.76703,                0.38215,                0.89081,                 0.0045,                 0.0045,                 0.0045
                     52,                0.91654,                0.48409,                0.90068,                0.96334,                0.92174,                0.97158,                0.76473,                0.76823,                0.37638,                0.89414,                0.00439,                0.00439,                0.00439
                     53,                0.91412,                0.48285,                0.89995,                0.96777,                0.92149,                0.97167,                0.76757,                 0.7612,                0.37429,                0.89096,                0.00428,                0.00428,                0.00428
                     54,                0.91736,                0.48497,                0.90105,                0.96784,                0.92265,                 0.9722,                0.76813,                0.75811,                0.37775,                0.88801,                0.00417,                0.00417,                0.00417
                     55,                 0.9091,                0.47937,                0.89898,                0.96663,                0.92627,                 0.9735,                0.77186,                0.75318,                0.37384,                0.88716,                0.00406,                0.00406,                0.00406
                     56,                0.90333,                0.47363,                0.89484,                0.96624,                0.92711,                0.97344,                 0.7697,                0.75615,                0.37371,                0.88739,                0.00395,                0.00395,                0.00395
                     57,                0.89936,                0.47151,                0.89642,                0.96394,                0.92661,                0.97305,                0.77008,                0.75438,                0.37381,                0.88546,                0.00384,                0.00384,                0.00384
                     58,                0.90268,                0.47157,                0.89511,                0.96578,                0.92616,                0.97447,                0.77557,                 0.7425,                0.36856,                0.88235,                0.00373,                0.00373,                0.00373
                     59,                0.89338,                0.46862,                0.89469,                0.96522,                0.92899,                0.97409,                0.77732,                0.74198,                0.36595,                0.88365,                0.00362,                0.00362,                0.00362
                     60,                 0.8929,                0.46671,                0.89617,                0.96692,                0.92684,                0.97424,                0.77595,                0.74247,                0.36366,                0.88186,                0.00351,                0.00351,                0.00351
                     61,                0.89373,                0.46328,                0.89502,                0.96569,                0.93194,                0.97407,                0.77878,                0.73363,                0.36161,                0.88235,                 0.0034,                 0.0034,                 0.0034
                     62,                0.88225,                0.45952,                0.88986,                0.96835,                0.93221,                0.97566,                0.77907,                0.73576,                0.35964,                0.88296,                0.00329,                0.00329,                0.00329
                     63,                 0.8794,                0.45979,                0.89115,                0.96403,                0.93567,                0.97626,                0.78205,                0.72446,                0.35943,                0.87797,                0.00318,                0.00318,                0.00318
                     64,                  0.881,                0.45991,                0.89001,                0.96723,                0.93488,                0.97636,                0.78082,                0.72594,                0.35869,                0.87813,                0.00307,                0.00307,                0.00307
                     65,                0.87744,                0.45501,                0.88996,                 0.9681,                0.93364,                0.97674,                0.78225,                0.72904,                0.35521,                0.87879,                0.00296,                0.00296,                0.00296
                     66,                0.87454,                0.45291,                0.88804,                0.96766,                 0.9393,                0.97763,                0.78367,                0.72293,                0.35206,                0.87717,                0.00285,                0.00285,                0.00285
                     67,                0.86701,                0.45161,                0.88673,                0.97272,                0.93284,                 0.9769,                 0.7838,                0.71661,                0.35086,                0.87704,                0.00274,                0.00274,                0.00274
                     68,                0.86474,                0.44842,                0.88896,                0.97115,                0.93613,                0.97778,                0.78668,                0.71611,                0.34939,                0.87615,                0.00263,                0.00263,                0.00263
                     69,                0.86255,                0.44629,                0.88511,                0.97082,                0.93715,                0.97797,                0.78778,                0.71822,                0.34993,                0.87485,                0.00252,                0.00252,                0.00252
                     70,                0.85632,                0.44256,                0.88537,                0.96958,                0.93845,                0.97815,                0.79041,                0.70724,                0.34593,                0.87266,                0.00241,                0.00241,                0.00241
                     71,                0.85466,                0.44092,                0.88456,                0.97059,                0.93443,                0.97807,                0.79068,                 0.7071,                0.34507,                0.87235,                 0.0023,                 0.0023,                 0.0023
                     72,                0.84975,                0.43891,                0.88196,                0.96723,                0.93805,                0.97809,                0.79053,                0.70603,                0.34423,                0.87184,                0.00219,                0.00219,                0.00219
                     73,                0.84665,                0.43782,                 0.8824,                0.97266,                0.93481,                0.97814,                0.79123,                0.70272,                0.34355,                0.87151,                0.00208,                0.00208,                0.00208
